review,label,shap_values,shap_base_values,shap_data,y_prob,model_nle
"The remake of Hitchcock's ""Dial M for Murder"" is a disappointment, filled with glitz and big-name stars but lacking substance. The plot is slow and the performances, except for Douglas, are subpar. The film is a failure as a thriller.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Relentless 3"" is a mediocre thriller that fails to match the quality of British TV films like ""Prime Suspect"". Despite good performances from Rossi and Forsythe, the film is unnecessarily long due to gratuitous erotica.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""No Looking Back"" is a tedious drama that lacks the spark of Edward Burns' previous work. The storyline is uninspired and the characters are unconvincing. The film is not bad, but it's simply boring and lacks zest.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"Eddie Murphy's ""Nutty Professor II: The Klumps"" is a failure. The script is poorly written, the characters are stereotypical, and the comedy is unconvincing. Despite impressive makeup and special effects, the film is let down by its weak storyline.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Snake Eyes"" is a disappointing thriller with a weak story and poorly realized characters. Despite some intriguing performances and flashy camera techniques, the film is boring and gives away its twist too early. It's a case of style over substance.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""I Still Know What You Did Last Summer"" is a mindless sequel that fails to conjure any suspense or wit. The plot is predictable and the characters uninteresting, making it a dismal watch. The only redeeming factor is its unintentional humor.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Star Wars: Episode 1"" is a disappointing start to the trilogy, with a thin, boring plot and lackluster characters. The special effects are unimpressive and the script lacks tension and excitement. The film fails in all major areas of filmmaking.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Hard to Die"" is a predictable, low-budget horror flick with a ridiculous storyline and poor acting. The special effects are unrealistic and the script is pathetic. The film is unintentionally hilarious at times, but it's not worth the rental fee.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Deuce Bigalow: Male Gigolo"" is a one-joke movie that isn't very funny. The film's humor relies on quirky characters, all of which are revealed in the trailer. The DVD extras, including storyboard comparisons, are unimpressive and unnecessary.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Tectonic Plates"" is a tedious film adaptation of a stage play that fails to engage the audience. The narrative style distances viewers from the characters, making them unrelatable. Despite its unique approach, the film is a creative disaster and a poor introduction to Robert Lepage's work.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Right Hand Man"" is a disappointing Australian film that tries to emulate classic romance stories but fails miserably. Despite good cinematography, the plot is absurd and the characters are uninteresting. Avoid this film unless you're seeking unintentional humor.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Alien 3"" is a disappointing addition to the Alien saga, lacking in tension and interest. Despite Sigourney Weaver's solid performance, the underwritten roles and lack of engagement make this film a letdown. The ending, however, is surprisingly good for such a drab movie.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Monkey Bone"" is a technically well-made film with a complex plot and impressive special effects, but it falls short due to gaping plot holes and lack of character development. Despite a decent cast, the performances are uneven and the direction is inconsistent. It might be worth a rental for the curious, but generally, it's best to avoid this one.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Soldier"" is a poorly made sci-fi thriller that fails to live up to the standards of its genre. The action is mediocre, the fight scenes are sluggish, and Kurt Russell's character is uninteresting. The film is far from desirable and should have been scrapped before production.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""American Pimp"" is a documentary about African-American street pimps that offers no fresh insights or surprises. The film becomes grating as the pimps continuously brag about their lifestyle. It fails to delve into the women's perspective or the core of the pimps' mindset, making it a one-sided and unsatisfying watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Freddy Got Fingered"" is a chaotic film that's partially autobiographical for Tom Green. It has a few comedic moments but largely fails to impress, with its humor often crossing into distasteful territory. Green's performance is a primal scream that only his hardcore fans might appreciate.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Much Ado About Nothing"" is a Shakespearean comedy that fails to resonate with modern audiences. Despite a talented cast, the film's complex Elizabethan English dialogue makes it difficult to comprehend, resulting in an embarrassing cinematic experience. It lacks the wit and sophistication of true comedy.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Saving Grace"" is a British comedy that starts promisingly but falls apart after the first hour, becoming absurd and sitcom-like. However, its message about the decriminalization of certain drugs is timely and pertinent, making it somewhat worthwhile despite its flaws.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Love to Kill"" is a crime film that attempts to blend humor and levity into the genre but ends up being a convoluted mess. The only redeeming aspect is the relationship between Tony Danza's character and the sister of a deceased woman. Danza's performance is impressive, but the film overall fails to deliver.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Sgt. Pepper's Lonely Hearts Club Band"" is a disastrous film featuring the Bee Gees' covers of Beatles' songs. The plot is unclear and filled with embarrassing cameo appearances and terrible 70s fashion. It's a novelty film that leaves you questioning the filmmakers' intentions. It's best left buried in the past.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Deep Impact"" is a disaster film that disappoints with its implausible plot, poor special effects, and cheap human drama. Despite some good acting and an entertaining final 15 minutes, it's a letdown.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Firestorm"" is a predictable, poorly executed film with cheap shots and ridiculous stunts. The simulated forest fires look hokey and the ending is worse than the rest of the movie. It's a prime candidate for the worst ten of the year list.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Hackers"" is a terribly inaccurate and exaggerated portrayal of computer hacking. The film is filled with implausible scenarios and gives a distorted view of computers, making it a waste of time for anyone familiar with technology.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""My Giant"" is a forced, contrived film that uses manipulative sentimentality to evoke emotions. Despite a few funny moments, the film is bogged down with cliches and plot turns, making it a disappointing watch.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""A Simple Plan"" is a parable of greed that spirals into a bloodbath. Despite commendable performances from Billy Bob Thornton and Bill Paxton, the film becomes tedious due to its predictable ending and lack of balance among characters.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Wild Wild West"" is a disappointing film that fails to deliver on comedy or action. Despite Will Smith's star power and Salma Hayek's charming performance, the movie is plagued by a lackluster plot, weak characterizations, and unimpressive special effects.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""In the Line of Duty: The Twilight Murders"" is a formulaic TV movie that attempts to tackle the issue of right-wing extremism. Despite a steady direction and a good performance by Rod Steiger, the film is let down by a lack of originality and poor character interactions.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Supergirl"" is a poorly executed spin-off that fails to make sense or engage the audience. Despite a few commendable sequences, the film is marred by unconvincing special effects, contrived plot points, and underdeveloped characters.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Practical Magic"" is a misguided film that fails to deliver on comedy or drama. Despite a high-profile cast, the film is let down by a convoluted plot, flat humor, and poorly developed characters. The direction and screenplay are also disappointing.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Sleepy Hollow"" is a disappointing horror film that fails to scare. Despite Tim Burton's direction and a few surprise cameos, the film is let down by a cliched plot, goofy attempts at inducing fright, and poor performances.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Gift"" is a clichéd, predictable film with a lackluster screenplay. Despite Keanu Reeves' commendable performance, the movie fails to impress due to its unoriginality and stereotypical portrayal of the South.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Species II"" is a sequel that fails to improve upon its predecessor. Despite its potentially intriguing premise, the film is riddled with plot holes, ridiculous dialogue, and unconvincing special effects. The performances are lackluster, and the plot is often nonsensical.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""U.S Marshals"" is a disappointing sequel to ""The Fugitive"". The film lacks character development and originality, with a plot that veers off into predictable territory. Despite decent special effects and a good soundtrack, the film is ultimately unexciting and fails to engage the audience.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Bachelor"" is an insipid remake of Buster Keaton's ""Seven Chances"". The film's portrayal of women as gold-diggers is offensive, and its plot is absurd. The final act, which involves a mob of brides chasing the protagonist, is particularly groan-inducing.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Holy Man"" is a sappy, poorly executed film with a weak plot. Eddie Murphy's performance is uninspiring, and Jeff Goldblum appears disinterested. The film's supposed message is lost in its lack of entertainment value.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Get Carter"" is a disappointing action film, with Sylvester Stallone failing to recapture his 80's action hero glory. Despite strong performances from Mickey Rourke and Michael Caine, the film is let down by a weak script and poor casting.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Down to Earth"" is a mediocre remake of ""Heaven Can Wait"", with Chris Rock's comedic talent unevenly utilized. The film suffers from poor production values and a lackluster script, with Regina Taylor and Frankie Faison being the only standouts in the cast.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Hollow Man"" is a disturbing and unsophisticated horror film, with Kevin Bacon's character's invisibility used mainly for voyeuristic purposes. The special effects are unimpressive and the film lacks any real depth or substance.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Sexy Beast"" is a stylish British gangster film with a cliched and overly familiar plot. Ben Kingsley's performance is the highlight of the film, but the script has serious problems and the dialogue can be hard to understand for American audiences.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Money Talks"" is a predictable and unoriginal film, with excessive swearing that feels staged. The plot is flat and the characters are two-dimensional, making it a forgettable movie that's not worth the money.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
